2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frequency=866(MHz),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phi,E Total. dB=-3.1415926536,-178,-176,-174,-172,-170,-168,-166,-164,-162,-160,-158,-156,-154,-152,-150,-148,-146,-144,-142,-140,-138,-136,-134,-132,-130,-128,-126,-124,-122,-120,-118,-116,-114,-112,-110,-108,-106,-104,-102,-100,-98,-96,-94,-92,-90,-88,-86,-84,-82,-80,-78,-76,-74,-72,-70,-68,-66,-64,-62,-60,-58,-56,-54,-52,-50,-48,-46,-44,-42,-40,-38,-36,-34,-32,-30,-28,-26,-24,-22,-20,-18,-16,-14,-12,-10,-8,-6,-4,-2,0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,64,66,68,70,72,74,76,78,80,82,84,86,88,90,92,94,96,98,100,102,104,106,108,110,112,114,116,118,120,122,124,126,128,130,132,134,136,138,140,142,144,146,148,150,152,154,156,158,160,162,164,166,168,170,172,174,176,178,180
94,-16.79782593,-19.0643248,-15.01118977,-11.25793253,-8.741992123,-7.047195877,-5.917170414,-5.209286358,-4.842536178,-4.755428967,-4.863435176,-5.026256759,-5.071827665,-4.902688138,-4.594182976,-4.33617953,-4.315319981,-4.653176678,-5.414521325,-6.60191216,-8.104932212,-9.58288643,-10.47804534,-10.6325645,-10.62736202,-11.16494529,-12.80706175,-16.28954431,-21.27429046,-16.95794514,-11.76179901,-8.522829891,-6.347027514,-4.713738301,-3.314377129,-2.006290952,-0.790618966,0.271897343,1.125836958,1.760083395,2.21052346,2.553568505,2.875627957,3.233072741,3.611794033,3.948947274,4.162533976,4.209885644,4.088986429,3.83868044,3.508314117,3.155175705,2.765661026,2.303913722,1.685850797,0.837652246,-0.277926265,-1.657537337,-3.232923113,-4.874449702,-6.495432803,-8.261281599,-10.74034363,-15.17818983,-24.27884125,-16.79344546,-10.96232639,-8.059579702,-6.671780181,-6.296355742,-6.621775561,-7.297455602,-7.813503194,-7.71005942,-6.976327173,-5.973924467,-5.053156729,-4.454819447,-4.346729706,-4.8536398,-6.036874023,-7.816197428,-9.6814876,-10.74430462,-11.02939862,-11.53995745,-12.71163694,-13.64445772,-12.87392721,-11.50622514,-11.16068485,-12.67119179,-17.62657061,-26.90253644,-14.41427284,-9.409315264,-6.946201846,-5.852614138,-5.660763494,-6.075623406,-6.854600249,-7.783065421,-8.599100975,-8.853624352,-8.170564099,-6.895052598,-5.709352828,-5.02811837,-5.008965016,-5.706326194,-7.13372634,-9.229724439,-11.64797351,-13.46190512,-14.02648266,-14.2745753,-15.39557291,-18.12720405,-19.82565336,-14.58556722,-9.704127643,-6.324352799,-3.946495468,-2.225708741,-0.925490999,0.126353295,1.040349055,1.843520063,2.511449858,3.013250631,3.321171213,3.441724233,3.428601646,3.354850539,3.302124335,3.310840964,3.3627753,3.390159301,3.316944338,3.095016997,2.714523318,2.212195353,1.635114329,1.034608215,0.410427741,-0.307576156,-1.214096564,-2.424866552,-4.056626584,-6.244852021,-9.178643723,-13.1211363,-17.81638816,-18.7812054,-15.76274406,-13.25765584,-11.45925402,-9.992612239,-8.657338023,-7.429467666,-6.372048909,-5.556094555,-5.01962726,-4.777861513,-4.814796285,-5.090783885,-5.544175116,-6.085025242,-6.603298615,-6.983274756,-7.15115191,-7.099519579,-6.902539996,-6.685278476,-6.581940628,-6.724872315,-7.23413253,-8.25349627,-9.974624589,-12.71177961,-16.79782593
96,-16.7980561,-19.18659424,-15.10486242,-11.32167941,-8.789040537,-7.088929976,-5.953338314,-5.24230102,-4.870608523,-4.778466915,-4.879929375,-5.035838192,-5.074069646,-4.902422535,-4.595140649,-4.340371273,-4.321888655,-4.663753199,-5.425348847,-6.611452883,-8.109749221,-9.571936613,-10.45030558,-10.5944391,-10.5936605,-11.13841254,-12.79167492,-16.28161395,-21.2378597,-16.90823841,-11.73142118,-8.502312939,-6.334966484,-4.705618678,-3.307836393,-2.002685152,-0.78779012,0.27460545,1.129368732,1.764098518,2.215633904,2.56234134,2.882218104,3.238470244,3.616549073,3.953482487,4.166703375,4.217972698,4.096141439,3.844777638,3.518971498,3.164440357,2.772274695,2.306774022,1.684178003,0.83793005,-0.277975855,-1.659907274,-3.236789941,-4.881652837,-6.50756101,-8.281366345,-10.7614729,-15.19661454,-24.16500236,-16.78582663,-10.97970242,-8.083440428,-6.6957177,-6.31705027,-6.640950911,-7.31080938,-7.822366209,-7.7146662,-6.984329271,-5.984410982,-5.063923773,-4.465765311,-4.355988462,-4.856630581,-6.033592343,-7.799737821,-9.660747103,-10.73329504,-11.03159136,-11.54750707,-12.71473535,-13.62984811,-12.86352063,-11.50097661,-11.16243902,-12.66279041,-17.57345306,-26.72181814,-14.46257035,-9.447809324,-6.981200559,-5.880093305,-5.680789785,-6.087862903,-6.860305017,-7.779291868,-8.586858434,-8.836253565,-8.156656169,-6.887173782,-5.705214633,-5.023139543,-5.000700707,-5.691827129,-7.109709572,-9.194451087,-11.60587837,-13.43609473,-14.03915617,-14.31609384,-15.45346565,-18.18755063,-19.77718062,-14.52154698,-9.671512689,-6.30749474,-3.935738494,-2.216557065,-0.917744234,0.133680532,1.042534693,1.849490107,2.520493962,3.019834925,3.322743817,3.443368004,3.433069227,3.358360207,3.305160618,3.313732646,3.371437169,3.397230973,3.322210941,3.100151649,2.72032282,2.216509599,1.644595263,1.049775069,0.416894806,-0.303360599,-1.21325882,-2.428623948,-4.065725617,-6.259904937,-9.203185106,-13.16427532,-17.88868841,-18.84542584,-15.80199346,-13.29603262,-11.49247295,-10.01996645,-8.671536904,-7.43242698,-6.366530372,-5.54436626,-5.007610882,-4.766452265,-4.804598924,-5.084786439,-5.540890813,-6.08272664,-6.599678686,-6.975713936,-7.135110718,-7.075596536,-6.87216339,-6.649964256,-6.544713012,-6.686092259,-7.19739998,-8.216171927,-9.938278704,-12.68207799,-16.7980561
98,-16.79840296,-19.30140284,-15.19674293,-11.38107495,-8.835506295,-7.128222102,-5.991263234,-5.274840403,-4.89915504,-4.803493528,-4.898346882,-5.045404824,-5.077896416,-4.903841728,-4.597597926,-4.344553733,-4.330515878,-4.674331267,-5.437137683,-6.620976154,-8.111130732,-9.559531721,-10.41898919,-10.55649996,-10.56356708,-11.11570015,-12.78071737,-16.27949524,-21.19996983,-16.85130589,-11.69708359,-8.479493808,-6.318021134,-4.695566285,-3.302625632,-1.999617103,-0.784943733,0.277699898,1.132815331,1.768718335,2.221060166,2.565724083,2.889499714,3.244010721,3.621075342,3.957278579,4.170084631,4.220626401,4.103745642,3.851534646,3.530315438,3.167571707,2.778936053,2.309463969,1.68932725,0.837594832,-0.279282468,-1.661326249,-3.240730539,-4.889453411,-6.522070857,-8.301368985,-10.78891081,-15.21914247,-24.04695988,-16.77840379,-11.00126507,-8.108124088,-6.723119251,-6.342144545,-6.659488629,-7.322508461,-7.828271413,-7.721311943,-6.992665181,-5.995384327,-5.077305847,-4.477671915,-4.365280158,-4.86117709,-6.029860212,-7.783137658,-9.635218798,-10.71822254,-11.0381426,-11.56174576,-12.7164168,-13.61113806,-12.84644848,-11.49778631,-11.16111052,-12.6523085,-17.4992113,-26.36570581,-14.50864731,-9.49484326,-7.019119386,-5.91262491,-5.7055689,-6.103051828,-6.863903,-7.773074207,-8.569332852,-8.814289045,-8.14238685,-6.879550015,-5.701644249,-5.020316093,-4.994769417,-5.679035238,-7.087154378,-9.15898421,-11.56087787,-13.40884114,-14.05257829,-14.35754839,-15.5178434,-18.25402914,-19.71756827,-14.45430899,-9.638781973,-6.289399157,-3.924667729,-2.208455608,-0.910687427,0.141212045,1.052782247,1.854890385,2.522347591,3.019522652,3.323997903,3.446248031,3.433224045,3.362539055,3.314930267,3.322789874,3.379292449,3.403530467,3.326042003,3.104877073,2.726591483,2.227815367,1.654691662,1.048548735,0.421501265,-0.299592825,-1.213787817,-2.432887427,-4.07480514,-6.276613599,-9.23009631,-13.20363317,-17.96097387,-18.90914189,-15.84798349,-13.33517399,-11.52990393,-10.04715408,-8.689127297,-7.436813493,-6.361350429,-5.534136052,-4.994951333,-4.754125139,-4.795964179,-5.076867516,-5.535698985,-6.078449716,-6.593951945,-6.963789679,-7.11670969,-7.051372775,-6.841473724,-6.614470205,-6.507381818,-6.649162645,-7.160628933,-8.180972375,-9.904346372,-12.65471964,-16.79840296
100,-16.79797053,-19.40923452,-15.28207569,-11.43600209,-8.881336255,-7.169318943,-6.02725975,-5.307777412,-4.929246661,-4.828482931,-4.916685008,-5.056604805,-5.083329902,-4.905301961,-4.598926482,-4.349861923,-4.338453386,-4.684320134,-5.447494252,-6.628935284,-8.112573382,-9.54698765,-10.39010962,-10.52196068,-10.53103633,-11.09693771,-12.77023499,-16.27725466,-21.15882494,-16.79395571,-11.66216958,-8.455703631,-6.302924223,-4.683570279,-3.294644801,-1.994595328,-0.781765,0.280785317,1.136648221,1.77282885,2.226190086,2.569740029,2.897145768,3.249672477,3.625140919,3.960318685,4.177052274,4.226263577,4.112162676,3.85924205,3.536477899,3.177566923,2.785634028,2.311878604,1.686680729,0.836631895,-0.281520095,-1.663948113,-3.245643087,-4.897858338,-6.539357299,-8.326192201,-10.81955743,-15.24577873,-23.92469038,-16.77111861,-11.02705903,-8.138215373,-6.752562067,-6.368154883,-6.679780109,-7.333918063,-7.832761409,-7.72573834,-6.999371752,-6.007491554,-5.091323261,-4.493107327,-4.378054497,-4.867825796,-6.026563857,-7.766414964,-9.610550113,-10.70613771,-11.04645163,-11.57755712,-12.71664372,-13.59239766,-12.82673109,-11.49361175,-11.15884061,-12.63691578,-17.40541523,-25.86985945,-14.55232703,-9.544331707,-7.063146934,-5.947804762,-5.731108252,-6.118262192,-6.867486862,-7.764406919,-8.551534295,-8.791382923,-8.123000962,-6.872206313,-5.701128059,-5.019017387,-4.989675747,-5.665624673,-7.062655135,-9.120656094,-11.51640108,-13.37989976,-14.06641313,-14.40785665,-15.58348413,-18.31260248,-19.64859174,-14.38391754,-9.604030725,-6.271589313,-3.912806355,-2.199997558,-0.902065971,0.148923172,1.054650094,1.852437185,2.52333878,3.018135971,3.325376126,3.449968152,3.439926105,3.373629956,3.32497841,3.331738288,3.386677933,3.408757092,3.333907341,3.109157821,2.733703159,2.226825702,1.657684693,1.055756057,0.42585397,-0.297922335,-1.215686673,-2.439319499,-4.085893474,-6.294235135,-9.254553295,-13.25154554,-18.03306983,-18.9734901,-15.8892521,-13.37516906,-11.56492201,-10.07699385,-8.706014577,-7.442627487,-6.357657882,-5.524589262,-4.983812618,-4.743776776,-4.785388441,-5.070408069,-5.53036799,-6.074099239,-6.586131597,-6.951656479,-7.097961271,-7.024694963,-6.808466647,-6.576764882,-6.46995046,-6.610294688,-7.123903293,-8.148035406,-9.872796986,-12.6262895,-16.79797053
102,-16.79794731,-19.50947988,-15.36055337,-11.48981986,-8.923928247,-7.207921307,-6.06313757,-5.342782182,-4.961369454,-4.854364119,-4.93653355,-5.069433742,-5.088669791,-4.908423584,-4.602191249,-4.356589807,-4.347059071,-4.694310122,-5.458800176,-6.638128193,-8.113948339,-9.531650358,-10.35760483,-10.48760436,-10.50216919,-11.07560714,-12.7602275,-16.28072183,-21.11608719,-16.72971777,-11.62692854,-8.430985641,-6.28356475,-4.671259884,-3.286652047,-1.988794702,-0.778268686,0.283850269,1.140199976,1.77698034,2.231417573,2.574661398,2.898912533,3.255440494,3.628939242,3.962369466,4.178215524,4.230835309,4.116540659,3.867582772,3.54329746,3.181519514,2.785572092,2.313999545,1.683422011,0.835813216,-0.283375662,-1.667395111,-3.249622284,-4.909123774,-6.556625573,-8.355885158,-10.85340177,-15.2712767,-23.79855,-16.76981819,-11.05368248,-8.171462547,-6.783605233,-6.39509497,-6.699450963,-7.343681403,-7.835793259,-7.727923964,-7.007217211,-6.020745956,-5.107970911,-4.508595867,-4.390863157,-4.875021,-6.023268176,-7.749565853,-9.583850518,-10.69311922,-11.05873168,-11.5947753,-12.71802853,-13.56568485,-12.80478081,-11.49007245,-11.16033778,-12.62502091,-17.2945072,-25.28603876,-14.58901274,-9.598603521,-7.110170903,-5.98727128,-5.759795623,-6.135297177,-6.871029669,-7.753220031,-8.528556454,-8.763954326,-8.105154641,-6.863548167,-5.700157637,-5.020691551,-4.9868374,-5.655591156,-7.039635848,-9.079504935,-11.46557903,-13.34936862,-14.0838549,-14.45796008,-15.65572464,-18.37691401,-19.57132151,-14.3107112,-9.56712042,-6.251386764,-3.901406923,-2.190390514,-0.89415802,0.155896165,1.064623658,1.856662189,2.523455643,3.0210851,3.325938418,3.449868398,3.441971058,3.379268794,3.329059669,3.34049656,3.393396527,3.413182357,3.335959418,3.112526141,2.735961866,2.232807045,1.661082948,1.063110921,0.429149469,-0.298134204,-1.218338934,-2.446275375,-4.097681215,-6.312782499,-9.285050705,-13.29567348,-18.11239734,-19.03769512,-15.92596737,-13.41154995,-11.60081268,-10.1054089,-8.724853351,-7.448299057,-6.354982315,-5.515811706,-4.972036076,-4.732514568,-4.776373006,-5.063716551,-5.52490597,-6.069653579,-6.578179241,-6.939332062,-7.076838112,-6.995655133,-6.773157455,-6.540894516,-6.430514091,-6.573316359,-7.089143778,-8.114992644,-9.843597101,-12.6004466,-16.79794731
104,-16.79823103,-19.5997732,-15.43646687,-11.542481,-8.96582731,-7.246150264,-6.100742213,-5.37730834,-4.993954555,-4.882856625,-4.956711359,-5.082213744,-5.093945593,-4.9099776,-4.606953549,-4.362440072,-4.357726237,-4.705920047,-5.469660233,-6.64574834,-8.11364883,-9.51625716,-10.32759016,-10.4503572,-10.47383912,-11.05796497,-12.7546686,-16.27784645,-21.07148559,-16.66495717,-11.58767808,-8.40398579,-6.265494698,-4.657007862,-3.277281657,-1.98338416,-0.774467682,0.287240283,1.142953693,1.781116129,2.236312234,2.580472635,2.907692158,3.261290759,3.632344971,3.963837432,4.177954826,4.233961928,4.122070672,3.876847856,3.550758572,3.185914694,2.792309738,2.315816474,1.687153936,0.833566573,-0.286184265,-1.66976192,-3.255619737,-4.919585382,-6.577750321,-8.385575241,-10.89053975,-15.30565346,-23.66778269,-16.76838565,-11.08774788,-8.207936501,-6.818637025,-6.424763251,-6.720223891,-7.354858056,-7.837650086,-7.729782482,-7.016174841,-6.034073309,-5.126263028,-4.528566398,-4.407722537,-4.88533351,-6.019965049,-7.730309948,-9.552340809,-10.67995491,-11.07235402,-11.61554692,-12.71788973,-13.5352156,-12.77673185,-11.48260596,-11.16166632,-12.60300541,-17.16743807,-24.65049231,-14.62680421,-9.655295428,-7.162328161,-6.03110155,-5.790941959,-6.153501101,-6.87454059,-7.741874214,-8.502824186,-8.733279865,-8.083614614,-6.856644273,-5.701737376,-5.023058767,-4.986340413,-5.645596499,-7.016062056,-9.040849846,-11.41184859,-13.31706496,-14.09841958,-14.51698823,-15.73472594,-18.44019788,-19.48374419,-14.23486609,-9.528322023,-6.232692987,-3.889248877,-2.182496305,-0.885717405,0.163954986,1.066035063,1.867534024,2.528989434,3.022544867,3.326127781,3.450946209,3.444934135,3.38569567,3.339729805,3.349044839,3.399431133,3.416215415,3.341233526,3.114969317,2.739027638,2.239709092,1.665054645,1.062331327,0.431285184,-0.29857558,-1.222754821,-2.454879459,-4.111496456,-6.333007902,-9.313101004,-13.34424692,-18.19160341,-19.10223305,-15.96905877,-13.44878332,-11.63756619,-10.13512584,-8.742999621,-7.455424253,-6.35266992,-5.507713463,-4.961170723,-4.721225635,-4.766697518,-5.055145012,-5.51932535,-6.06326975,-6.570143239,-6.924741775,-7.05541721,-6.966270314,-6.737635127,-6.500897982,-6.39290329,-6.536337019,-7.054363497,-8.084120739,-9.816714849,-12.5801217,-16.79823103
106,-16.79803247,-19.68088601,-15.4997056,-11.58687756,-9.007011543,-7.283978602,-6.138234219,-5.413921991,-5.026517837,-4.910204684,-4.978406114,-5.09495067,-5.100819639,-4.914860535,-4.61059875,-4.370290941,-4.365617775,-4.717523369,-5.480493827,-6.651794431,-8.109905298,-9.49938091,-10.29404893,-10.41637971,-10.44597849,-11.04420471,-12.74944601,-16.28656493,-21.02358016,-16.59962614,-11.54816461,-8.377004789,-6.243763959,-4.642451025,-3.266557854,-1.977417156,-0.769753822,0.2893499,1.146045948,1.785788068,2.241460981,2.586881135,2.910555589,3.26079419,3.635347446,3.964497563,4.181795698,4.236005777,4.123524209,3.88123663,3.552799987,3.190530274,2.792276155,2.317322675,1.682857199,0.830666401,-0.288625709,-1.674403325,-3.262779898,-4.93215677,-6.600313584,-8.420211037,-10.9310095,-15.33425476,-23.53296309,-16.76651985,-11.12270387,-8.247613132,-6.857253698,-6.455412534,-6.741061039,-7.361329981,-7.839781814,-7.730553095,-7.025406564,-6.050271202,-5.14620814,-4.549162034,-4.426101404,-4.89620613,-6.018477864,-7.708646513,-9.524210251,-10.66647901,-11.08471125,-11.63740073,-12.72188416,-13.50149039,-12.7469701,-11.47613501,-11.16030008,-12.58221254,-17.02578987,-23.99725177,-14.66164465,-9.716821045,-7.220476607,-6.078480809,-5.825246126,-6.171728109,-6.87600567,-7.728031742,-8.474475521,-8.701529491,-8.060304785,-6.84977644,-5.704309216,-5.028392478,-4.987378816,-5.638296827,-6.992583272,-8.996830421,-11.35869355,-13.28278971,-14.11985119,-14.57614719,-15.81514769,-18.50881971,-19.38735907,-14.15219408,-9.489490476,-6.211653458,-3.877572828,-2.17253703,-0.877001132,0.17216318,1.07551777,1.870528358,2.527018337,3.023262413,3.326837912,3.452815182,3.448800683,3.386630643,3.344336143,3.357365091,3.404581104,3.42402522,3.340698294,3.116922565,2.742515831,2.240306675,1.669407763,1.069945315,0.43234709,-0.300434217,-1.228946406,-2.464555136,-4.126028877,-6.353222767,-9.345980992,-13.3932191,-18.27819743,-19.16568768,-16.00720866,-13.48658329,-11.67532303,-10.16883827,-8.764607228,-7.46550344,-6.351833661,-5.500299525,-4.950274418,-4.709468379,-4.756677404,-5.048006583,-5.513629599,-6.056804058,-6.56001427,-6.907881758,-7.031630097,-6.934526381,-6.701860656,-6.462736943,-6.353356391,-6.499314845,-7.019572139,-8.052930398,-9.789300574,-12.55849573,-16.79803247
108,-16.79810992,-19.75213216,-15.56000893,-11.63000806,-9.044875804,-7.321419354,-6.175575758,-5.450501033,-5.060653051,-4.941120478,-5.002015207,-5.11096539,-5.109316458,-4.918166998,-4.616183336,-4.377267666,-4.376275972,-4.728545421,-5.489877601,-6.65778246,-8.106306931,-9.478691224,-10.26295458,-10.38262716,-10.42172812,-11.0276801,-12.74446198,-16.28870285,-20.97356805,-16.53387894,-11.50809395,-8.349116247,-6.222771822,-4.625982305,-3.254482679,-1.97050191,-0.766064146,0.292627551,1.149467847,1.789362387,2.246655457,2.594428844,2.913872605,3.266778518,3.637927367,3.964332353,4.179523937,4.23658255,4.129857293,3.886523934,3.561518088,3.195572899,2.799020301,2.318512198,1.685529877,0.827878423,-0.292870457,-1.678861284,-3.269036002,-4.946180322,-6.624357264,-8.454918368,-10.97481039,-15.37146147,-23.39340321,-16.77029653,-11.16173014,-8.291231149,-6.896846689,-6.487968771,-6.760241965,-7.370610358,-7.83721516,-7.732134659,-7.033805006,-6.066910901,-5.167217566,-4.571328775,-4.44745391,-4.908670351,-6.01743023,-7.689133525,-9.491117913,-10.65246752,-11.10263799,-11.66012039,-12.72119842,-13.46449759,-12.71565466,-11.46758818,-11.16028578,-12.55976604,-16.87278425,-23.3443257,-14.68892426,-9.780791277,-7.282034377,-6.129439583,-5.8620585,-6.19181595,-6.877448018,-7.711805425,-8.443415938,-8.6632297,-8.034763047,-6.843267849,-5.70840261,-5.035860605,-4.990741329,-5.63104674,-6.970578538,-8.952675728,-11.29922757,-13.24655069,-14.14105229,-14.63965859,-15.89704587,-18.56928428,-19.28296714,-14.07123163,-9.450658617,-6.192430431,-3.865142314,-2.163205192,-0.86877958,0.179603164,1.084825056,1.872689235,2.530437468,3.022473638,3.326247882,3.455843294,3.453560633,3.394397811,3.355548021,3.365443436,3.409203252,3.425385702,3.343728231,3.118403895,2.741093131,2.241796512,1.674135392,1.069415486,0.432234024,-0.303712052,-1.235912533,-2.47535664,-4.141886534,-6.375349513,-9.376403832,-13.44657275,-18.36468741,-19.22787656,-16.04027094,-13.5208422,-11.7105633,-10.20119157,-8.78713175,-7.475525184,-6.352487009,-5.493638478,-4.94088252,-4.698793976,-4.746623388,-5.039013613,-5.506063372,-6.048429684,-6.547831098,-6.890860339,-7.005490881,-6.900461612,-6.663852304,-6.422499217,-6.313748178,-6.462333922,-6.986716556,-8.024235548,-9.767214999,-12.53947814,-16.79810992
110,-16.79803952,-19.81183596,-15.61223497,-11.67175832,-9.081974839,-7.358468661,-6.210901082,-5.487464488,-5.095240595,-4.972003352,-5.025931687,-5.125279369,-5.117724159,-4.923195829,-4.620227644,-4.386247063,-4.386910425,-4.739567413,-5.500236688,-6.663489453,-8.104389003,-9.459055214,-10.22834058,-10.34899561,-10.39793647,-11.01484553,-12.74376025,-16.29626279,-20.92197698,-16.46150306,-11.46424282,-8.318084226,-6.199419011,-4.607656305,-3.242422053,-1.96304543,-0.762101291,0.294964257,1.152051227,1.792899924,2.251480562,2.596193928,2.91763578,3.266392163,3.634025939,3.963336214,4.181022987,4.24001369,4.132460657,3.887502037,3.564802063,3.200926843,2.798985065,2.31937863,1.680158436,0.823642068,-0.297265427,-1.683866279,-3.276302535,-4.960893148,-6.652333605,-8.49466957,-11.02212233,-15.40782688,-23.2492523,-16.7733126,-11.20160078,-8.337907076,-6.938603368,-6.522398191,-6.78335788,-7.376873569,-7.834953203,-7.731401118,-7.04325918,-6.083606966,-5.189893284,-4.597106835,-4.469440844,-4.923244401,-6.015926033,-7.667242704,-9.455764534,-10.63769663,-11.12113228,-11.68589351,-12.71899282,-13.42095703,-12.68300967,-11.46236868,-11.16037307,-12.53609369,-16.70936876,-22.70773237,-14.71717397,-9.852115032,-7.347798423,-6.184007612,-5.902081431,-6.210693064,-6.878851996,-7.693128282,-8.409705709,-8.623917633,-8.009296006,-6.835372382,-5.712992532,-5.044838206,-4.994157431,-5.624817379,-6.9466505,-8.908427918,-11.24036778,-13.20783109,-14.16228521,-14.70762797,-15.99166644,-18.63129822,-19.1698135,-13.98392447,-9.409999032,-6.172072743,-3.852482429,-2.154046543,-0.860055923,0.188098446,1.085656743,1.874431933,2.532939829,3.020549169,3.325696861,3.454591279,3.459481419,3.402898319,3.360725806,3.373265271,3.413102383,3.43119976,3.345620808,3.118927307,2.740444542,2.243882832,1.671881472,1.069004252,0.431138656,-0.308660907,-1.244278287,-2.488909117,-4.15920032,-6.398214563,-9.410528917,-13.49636578,-18.45093674,-19.28977837,-16.07400564,-13.55563275,-11.75008506,-10.23355871,-8.811617007,-7.487023144,-6.353032749,-5.487668037,-4.930858299,-4.68765157,-4.735911855,-5.03143676,-5.498380436,-6.040001406,-6.535570774,-6.871600973,-6.97911103,-6.868165102,-6.625622285,-6.382181177,-6.274126457,-6.4253869,-6.954205581,-7.997049452,-9.744645392,-12.52570561,-16.79803952
112,-16.79783403,-19.86082006,-15.65588534,-11.70505869,-9.115685137,-7.392930342,-6.247926842,-5.52397707,-5.131410487,-5.003294086,-5.051009345,-5.142852245,-5.126092943,-4.928290727,-4.626664896,-4.393781367,-4.397542183,-4.752205458,-5.511578871,-6.66913879,-8.097494573,-9.438079881,-10.19624105,-10.31553833,-10.37453977,-11.00579529,-12.7472865,-16.3032325,-20.86663882,-16.38881993,-11.42003755,-8.287097409,-6.174298287,-4.589009956,-3.229027279,-1.954647811,-0.757864496,0.298450853,1.154943807,1.796915889,2.256328528,2.605151669,2.92182931,3.272462635,3.635737098,3.961278388,4.181332981,4.237620454,4.131681538,3.894270885,3.568901904,3.206587008,2.798938502,2.312834172,1.674128934,0.819162702,-0.302147257,-1.689574712,-3.285647576,-4.976300176,-6.679894071,-8.537042409,-11.07281557,-15.44791298,-23.10199507,-16.77531919,-11.24886744,-8.388053241,-6.984048379,-6.558773274,-6.804813182,-7.384241315,-7.832950123,-7.730239091,-7.050970795,-6.103155737,-5.215836793,-4.623906039,-4.493524322,-4.938386905,-6.016674894,-7.645192239,-9.42084427,-10.62192887,-11.13990359,-11.71459844,-12.71832855,-13.37886622,-12.64569605,-11.45268872,-11.16015259,-12.50887968,-16.53782683,-22.09369076,-14.73762925,-9.923349152,-7.417851457,-6.242251265,-5.942946786,-6.233791539,-6.878179481,-7.672089693,-8.371114257,-8.581499862,-7.982032897,-6.828968686,-5.720550018,-5.054486904,-5.002108422,-5.620301863,-6.924192958,-8.86407364,-11.17859393,-13.17077021,-14.17975768,-14.78025794,-16.08225729,-18.69244699,-19.04961621,-13.8945209,-9.367304337,-6.150569891,-3.841070666,-2.14487109,-0.851079217,0.19581945,1.094429765,1.875541744,2.534220306,3.017486692,3.324744524,3.459529713,3.460648545,3.412116638,3.372414075,3.380751925,3.422299317,3.429978346,3.346370323,3.118449279,2.740565169,2.246559204,1.677508773,1.068697557,0.427870774,-0.315042134,-1.25443621,-2.5024798,-4.176529332,-6.423025361,-9.443496305,-13.55475532,-18.54461981,-19.35002128,-16.10794562,-13.59098814,-11.78368119,-10.26590865,-8.833957182,-7.500017441,-6.355068515,-5.481627565,-4.921739468,-4.678020223,-4.726748769,-5.021981046,-5.490572315,-6.03152356,-6.523255763,-6.852193775,-6.950362952,-6.831539431,-6.585253554,-6.341744589,-6.234499315,-6.390343216,-6.92333328,-7.970392518,-9.723162778,-12.51035232,-16.79783403
